gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
37,37,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",92.000000000,155.000000000,
37,37,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",174.000000000,230.000000000,
38,38,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",171.000000000,249.000000000,
38,38,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",91.000000000,141.000000000,
39,39,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",511.000000000,682.000000000,
39,39,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",1139.000000000,1618.000000000,
40,40,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",112.000000000,206.000000000,
40,40,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",35.000000000,104.000000000,
41,41,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",80.000000000,184.000000000,
41,41,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",276.000000000,432.000000000,
42,42,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",231.000000000,353.000000000,
42,42,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",62.000000000,117.000000000,
43,43,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",62.000000000,160.000000000,
43,43,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",212.000000000,386.000000000,
44,44,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",378.000000000,603.000000000,
44,44,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",161.000000000,286.000000000,
45,45,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",149.000000000,299.000000000,
