gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
23,23,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",330.000000000,452.000000000,
23,23,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",979.000000000,1395.000000000,
24,24,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",159.000000000,226.000000000,
24,24,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",23.000000000,85.000000000,
26,26,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",147.000000000,241.000000000,
26,26,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",31.000000000,99.000000000,
27,27,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",25.000000000,79.000000000,
27,27,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",105.000000000,181.000000000,
28,28,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",860.000000000,1246.000000000,
28,28,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",297.000000000,455.000000000,
29,29,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",50.000000000,177.000000000,
29,29,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",116.000000000,328.000000000,
30,30,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",141.000000000,255.000000000,
30,30,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",48.000000000,94.000000000,
