gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2017-01-02,OFF_PEAK,"Passenger Wait Time",87853.866971832,90652.165430905,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2017-01-02,PEAK,"Passenger Wait Time",68700.615455561,69801.137739440,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2017-01-02,PEAK,"Passenger Wait Time",7948.515214349,9952.075290783,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2017-01-02,OFF_PEAK,"Passenger Wait Time",14898.880833817,18693.712593914,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2017-01-02,PEAK,"Passenger Wait Time",14073.057669543,18454.329445472,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2017-01-02,OFF_PEAK,"Passenger Wait Time",21028.244201318,28438.385139285,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2017-01-02,PEAK,"Passenger Wait Time",13499.739878352,15956.663957615,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2017-01-02,OFF_PEAK,"Passenger Wait Time",20405.634428008,25521.033160401,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2017-01-02,OFF_PEAK,"Passenger Wait Time",26149.537493907,32326.514738790,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2017-01-02,PEAK,"Passenger Wait Time",17419.954978669,21547.094106407,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2017-01-02,PEAK,"Passenger Wait Time",22409.401057807,23016.728726994,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2017-01-02,OFF_PEAK,"Passenger Wait Time",34098.586996750,34919.186244572,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2017-01-02,OFF_PEAK,"Headway / Schedule Adherence",899.000000000,1011.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2017-01-02,OFF_PEAK,"Headway / Schedule Adherence",386.000000000,415.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2017-01-02,OFF_PEAK,"Headway / Schedule Adherence",836.000000000,936.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2017-01-02,OFF_PEAK,"Headway / Schedule Adherence",1509.000000000,1948.000000000,
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2017-01-02,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2017-01-02,OFF_PEAK,"Headway / Schedule Adherence",32.000000000,32.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2017-01-02,OFF_PEAK,"Headway / Schedule Adherence",14.000000000,14.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2017-01-02,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2017-01-02,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2017-01-02,OFF_PEAK,"Headway / Schedule Adherence",17.000000000,18.000000000,.000000000
